"gene_id","length"
"ENSG00000005436",13161
"ENSG00000005448",8799
"ENSG00000005469",7195
"ENSG00000005471",10533
"ENSG00000005483",25302
"ENSG00000005486",7928
"ENSG00000005513",7202
"ENSG00000005700",20955
"ENSG00000005801",21184
"ENSG00000005810",30458
"ENSG00000005812",6459
"ENSG00000005844",15481
"ENSG00000005882",10257
"ENSG00000005884",20190
"ENSG00000005889",21534
"ENSG00000005893",7711
"ENSG00000005955",14725
"ENSG00000005961",10298
"ENSG00000006007",8106
"ENSG00000006015",8122
"ENSG00000006016",4101
"ENSG00000006025",14623
"ENSG00000006042",8368
"ENSG00000006047",9414
"ENSG00000006062",12588
"ENSG00000006114",28121
"ENSG00000006118",18199
"ENSG00000006125",16320
"ENSG00000006194",15891
"ENSG00000006210",12993
"ENSG00000006282",17987
"ENSG00000006283",20056
"ENSG00000006327",5234
"ENSG00000006432",18276
"ENSG00000006451",5020
"ENSG00000006453",6511
"ENSG00000006459",16965
"ENSG00000006468",29740
"ENSG00000006530",9046
"ENSG00000006534",14985
"ENSG00000006576",18718
"ENSG00000006606",857
"ENSG00000006607",21803
"ENSG00000006625",6942
"ENSG00000006634",10433
"ENSG00000006638",5517
"ENSG00000006652",11960
"ENSG00000006695",7816
"ENSG00000006704",10549
"ENSG00000006712",6508
"ENSG00000006715",11145
"ENSG00000006740",17842
"ENSG00000006744",15925
"ENSG00000006747",10229
"ENSG00000006756",10847
"ENSG00000006757",5738
"ENSG00000006788",6474
"ENSG00000006831",7266
"ENSG00000006837",9465
"ENSG00000007001",5875
"ENSG00000007038",5939
"ENSG00000007047",11451
"ENSG00000007080",2517
"ENSG00000007168",13624
"ENSG00000007171",4176
"ENSG00000007174",26321
"ENSG00000007202",16134
"ENSG00000007237",21890
"ENSG00000007255",2442
"ENSG00000007312",3786
"ENSG00000007314",9192
"ENSG00000007341",22213
"ENSG00000007372",27859
"ENSG00000007376",9169
"ENSG00000007384",12024
"ENSG00000007392",16222
"ENSG00000007402",12120
"ENSG00000007516",12350
"ENSG00000007520",1892
"ENSG00000007541",13789
"ENSG00000007545",18534
"ENSG00000007866",3374
"ENSG00000007923",11507
"ENSG00000007933",7005
"ENSG00000007944",3876
"ENSG00000007952",3845
"ENSG00000007968",5741
"ENSG00000008018",2867
"ENSG00000008056",4261
"ENSG00000008083",7802
"ENSG00000008086",5013
"ENSG00000008118",3405
"ENSG00000008128",14615
"ENSG00000008130",12912
"ENSG00000008196",6943
"ENSG00000008226",14605
"ENSG00000008256",9109
"ENSG00000008277",15763
"ENSG00000008282",6278
"ENSG00000008283",19068
"ENSG00000008294",22082
"ENSG00000008300",19630
"ENSG00000008311",9274
"ENSG00000008323",6152
"ENSG00000008324",2352
"ENSG00000008382",3877
"ENSG00000008394",9036
"ENSG00000008405",8769
"ENSG00000008438",720
"ENSG00000008441",18330
"ENSG00000008513",21332
"ENSG00000008516",5043
"ENSG00000008517",18591
"ENSG00000008710",44174
"ENSG00000008735",11431
"ENSG00000008838",20526
"ENSG00000008853",12535
"ENSG00000008869",10106
"ENSG00000008952",10936
"ENSG00000008988",7041
"ENSG00000009307",14485
"ENSG00000009335",13486
"ENSG00000009413",27109
"ENSG00000009694",18698
"ENSG00000009724",5259
"ENSG00000009765",19040
"ENSG00000009780",7115
"ENSG00000009790",15772
"ENSG00000009830",20519
"ENSG00000009844",9162
"ENSG00000009950",11026
"ENSG00000009954",8370
"ENSG00000010017",4088
"ENSG00000010030",4127
"ENSG00000010072",10028
"ENSG00000010165",8342
"ENSG00000010219",12071
"ENSG00000010244",30166
"ENSG00000010256",7885
"ENSG00000010270",8368
"ENSG00000010278",6913
"ENSG00000010292",14624
"ENSG00000010295",15771
"ENSG00000010310",6922
"ENSG00000010318",7414
"ENSG00000010319",6019
"ENSG00000010322",19058
"ENSG00000010327",18908
"ENSG00000010361",11805
"ENSG00000010404",14616
"ENSG00000010438",2907
"ENSG00000010539",18029
"ENSG00000010610",10032
"ENSG00000010626",7644
"ENSG00000010704",11978
"ENSG00000010803",8619
"ENSG00000010810",17201
"ENSG00000010818",14701
"ENSG00000010932",7947
"ENSG00000011007",6144
"ENSG00000011009",7604
"ENSG00000011021",13838
"ENSG00000011028",14855
"ENSG00000011105",10120
"ENSG00000011114",23783
"ENSG00000011132",10719
"ENSG00000011143",10729
"ENSG00000011198",5353
"ENSG00000011243",13601
"ENSG00000011258",14468
"ENSG00000011260",4611
"ENSG00000011275",12044
"ENSG00000011295",15238
"ENSG00000011304",17652
"ENSG00000011332",13300
"ENSG00000011347",9061
"ENSG00000011376",8899
"ENSG00000011405",13174
"ENSG00000011422",9414
"ENSG00000011426",10780
"ENSG00000011451",13021
"ENSG00000011454",13788
"ENSG00000011465",13557
"ENSG00000011478",3306
"ENSG00000011485",17211
"ENSG00000011523",13955
"ENSG00000011566",13114
"ENSG00000011590",4038
"ENSG00000011600",3279
"ENSG00000011638",7492
"ENSG00000012048",33487
"ENSG00000012061",12306
"ENSG00000012171",20169
"ENSG00000012174",10033
"ENSG00000012211",8244
"ENSG00000012232",21053
"ENSG00000012660",9692
"ENSG00000012817",19316
"ENSG00000012822",14088
"ENSG00000012963",8688
"ENSG00000012983",12527
"ENSG00000013016",7689
"ENSG00000013275",5046
"ENSG00000013288",11713
"ENSG00000013293",10576
"ENSG00000013297",10251
"ENSG00000013306",11932
"ENSG00000013364",12749
"ENSG00000013374",10730
"ENSG00000013375",11280
"ENSG00000013392",5936
"ENSG00000013441",13386
"ENSG00000013503",6253
"ENSG00000013523",7672
"ENSG00000013561",10916
"ENSG00000013563",9672
"ENSG00000013573",24820
"ENSG00000013583",4021
"ENSG00000013588",11360
"ENSG00000013619",10839
"ENSG00000013810",9731
"ENSG00000014123",4682
"ENSG00000014138",11141
"ENSG00000014164",3826
"ENSG00000014216",18154
"ENSG00000014257",6952
"ENSG00000014641",9769
"ENSG00000014824",10156
"ENSG00000014914",12384
"ENSG00000014919",4358
"ENSG00000015133",20772
"ENSG00000015153",26237
"ENSG00000015171",15781
"ENSG00000015285",4635
"ENSG00000015413",6380
"ENSG00000015475",11762
"ENSG00000015479",38721
"ENSG00000015520",5920
"ENSG00000015532",9009
"ENSG00000015568",21260
"ENSG00000015592",6721
"ENSG00000015676",16497
"ENSG00000016391",8719
"ENSG00000016402",7744
"ENSG00000016864",11074
"ENSG00000017260",20843
"ENSG00000017373",18434
"ENSG00000017427",16213
"ENSG00000017483",7831
"ENSG00000017621",8576
"ENSG00000017797",8354
"ENSG00000018189",13258
"ENSG00000018236",10229
"ENSG00000018280",20405
"ENSG00000018408",13514
"ENSG00000018510",9007
"ENSG00000018610",3269
"ENSG00000018625",11252
"ENSG00000018699",4739
"ENSG00000018869",5794
"ENSG00000019102",1694
"ENSG00000019144",37255
"ENSG00000019186",6285
"ENSG00000019485",7850
"ENSG00000019549",3746
"ENSG00000019582",7556
"ENSG00000019991",12095
"ENSG00000019995",6282
"ENSG00000020129",9942
"ENSG00000020181",10374
"ENSG00000020256",9525
"ENSG00000020426",6652
"ENSG00000020577",22762
"ENSG00000020633",11549
"ENSG00000020922",6292
"ENSG00000021300",10218
"ENSG00000021355",5257
"ENSG00000021488",5134
"ENSG00000021574",9016
"ENSG00000021645",25500
"ENSG00000021762",16960
"ENSG00000021776",14907
"ENSG00000021826",14046
"ENSG00000022267",9206
"ENSG00000022277",7990
"ENSG00000022556",14979
"ENSG00000022567",13151
"ENSG00000022840",15050
"ENSG00000022976",13973
"ENSG00000023041",3325
"ENSG00000023171",18889
"ENSG00000023191",18423
"ENSG00000023228",15262
"ENSG00000023287",13245
"ENSG00000023318",4854
"ENSG00000023330",4482
"ENSG00000023445",10753
"ENSG00000023516",9913
"ENSG00000023572",2073
"ENSG00000023608",2656
"ENSG00000023697",5588
"ENSG00000023734",6438
"ENSG00000023839",6952
"ENSG00000023892",4003
"ENSG00000023902",12538
"ENSG00000023909",6065
"ENSG00000024048",11530
"ENSG00000024422",6595
"ENSG00000024526",9652
"ENSG00000024862",1496
"ENSG00000025039",9427
"ENSG00000025156",4235
"ENSG00000025293",16650
"ENSG00000025423",5094
"ENSG00000025434",17629
"ENSG00000025708",7779
"ENSG00000025770",6691
"ENSG00000025772",2062
"ENSG00000025796",12432
"ENSG00000025800",13386
"ENSG00000026025",10678
"ENSG00000026036",13765
"ENSG00000026103",9250
"ENSG00000026297",13256
"ENSG00000026508",24177
"ENSG00000026559",11342
"ENSG00000026652",19539
"ENSG00000026950",13397
"ENSG00000027001",5224
"ENSG00000027075",14598
"ENSG00000027644",5101
"ENSG00000027697",4469
"ENSG00000027847",10162
"ENSG00000028116",8463
"ENSG00000028137",7686
"ENSG00000028203",25137
"ENSG00000028277",19005
"ENSG00000028310",18311
"ENSG00000028528",23438
"ENSG00000028839",7184
"ENSG00000029153",7049
"ENSG00000029363",27624
"ENSG00000029364",15880
"ENSG00000029534",25430
"ENSG00000029639",5438
"ENSG00000029725",12561
"ENSG00000029993",4851
"ENSG00000030066",13087
"ENSG00000030110",4631
"ENSG00000030304",6267
"ENSG00000030419",22816
"ENSG00000030582",9359
"ENSG00000031003",9352
"ENSG00000031081",9429
"ENSG00000031544",8069
"ENSG00000031691",1733
"ENSG00000031698",6192
"ENSG00000031823",15113
"ENSG00000032219",15004
"ENSG00000032389",10309
"ENSG00000032444",14357
"ENSG00000032742",9289
"ENSG00000033011",10551
"ENSG00000033030",14460
"ENSG00000033050",5568
"ENSG00000033100",6755
"ENSG00000033122",18545
"ENSG00000033170",16570
"ENSG00000033178",13629
"ENSG00000033327",8796
"ENSG00000033627",26006
"ENSG00000033800",6248
"ENSG00000033867",15706
"ENSG00000034053",13315
"ENSG00000034063",13215
"ENSG00000034152",10653
"ENSG00000034239",8357
"ENSG00000034510",492
"ENSG00000034533",6249
"ENSG00000034677",13341
"ENSG00000034693",2788
"ENSG00000034713",5172
"ENSG00000034971",2095
"ENSG00000035115",25889
"ENSG00000035141",6826
"ENSG00000035403",10064
"ENSG00000035499",6813
"ENSG00000035664",12798
"ENSG00000035681",11947
"ENSG00000035687",4519
"ENSG00000035862",9655
"ENSG00000035928",11919
"ENSG00000036054",13352
"ENSG00000036257",21364
"ENSG00000036448",12374
"ENSG00000036530",12410
"ENSG00000036549",16321
"ENSG00000036672",8850
"ENSG00000037042",4393
"ENSG00000037241",2469
"ENSG00000037280",15673
"ENSG00000037474",14124
"ENSG00000037637",10282
"ENSG00000037749",12399
"ENSG00000037757",6380
"ENSG00000037897",6289
"ENSG00000037965",3371
"ENSG00000038002",4128
"ENSG00000038210",7953
"ENSG00000038219",19166
"ENSG00000038274",12410
"ENSG00000038295",14558
"ENSG00000038358",16338
"ENSG00000038382",36257
"ENSG00000038427",29416
"ENSG00000038532",23826
"ENSG00000038945",11701
"ENSG00000039123",12360
"ENSG00000039139",19150
"ENSG00000039319",26469
"ENSG00000039523",16899
"ENSG00000039537",6919
"ENSG00000039560",15781
"ENSG00000039600",6314
"ENSG00000039650",9200
"ENSG00000040199",28506
"ENSG00000040275",10111
"ENSG00000040341",24886
"ENSG00000040487",5381
"ENSG00000040531",7532
"ENSG00000040608",5900
"ENSG00000040633",10043
"ENSG00000040731",6997
"ENSG00000040933",19566
"ENSG00000041353",8351
"ENSG00000041357",13552
"ENSG00000041515",13673
"ENSG00000041802",7275
"ENSG00000041880",8352
"ENSG00000041982",15854
"ENSG00000041988",7133
"ENSG00000042062",11890
"ENSG00000042088",14617
"ENSG00000042286",5970
"ENSG00000042317",16715
"ENSG00000042429",17715
"ENSG00000042445",11234
"ENSG00000042493",6379
"ENSG00000042753",4282
"ENSG00000042781",22124
"ENSG00000042832",21046
"ENSG00000042980",15571
"ENSG00000043093",10057
"ENSG00000043143",15512
"ENSG00000043514",8980
"ENSG00000044090",7314
"ENSG00000044115",24770
"ENSG00000044446",12765
"ENSG00000044459",14761
"ENSG00000044524",7495
"ENSG00000044574",3908
"ENSG00000046604",6434
"ENSG00000046647",4140
"ENSG00000046651",11395
"ENSG00000046653",10909
"ENSG00000046774",1991
"ENSG00000046889",15922
"ENSG00000047056",9058
"ENSG00000047188",17479
"ENSG00000047230",7372
"ENSG00000047249",11612
"ENSG00000047315",10992
"ENSG00000047346",13512
"ENSG00000047365",17016
"ENSG00000047410",17760
"ENSG00000047457",15720
"ENSG00000047578",14034
"ENSG00000047579",9814
"ENSG00000047597",5206
"ENSG00000047617",8788
"ENSG00000047621",7933
"ENSG00000047634",12382
"ENSG00000047644",7458
"ENSG00000047648",19467
"ENSG00000047662",6622
"ENSG00000047849",34700
"ENSG00000047932",6951
"ENSG00000047936",8246
"ENSG00000048028",15419
"ENSG00000048052",29270
"ENSG00000048140",16391
"ENSG00000048162",5807
"ENSG00000048342",16211
"ENSG00000048392",8514
"ENSG00000048405",9244
"ENSG00000048471",18913
"ENSG00000048540",40178
"ENSG00000048544",2110
"ENSG00000048545",5204
"ENSG00000048649",23541
"ENSG00000048707",35299
"ENSG00000048740",28778
"ENSG00000048828",11182
"ENSG00000048991",17264
"ENSG00000049089",8864
"ENSG00000049130",8396
"ENSG00000049167",10364
"ENSG00000049192",17502
"ENSG00000049239",17049
"ENSG00000049245",3381
"ENSG00000049246",10452
"ENSG00000049283",16522
"ENSG00000049319",7019
"ENSG00000049323",15953
"ENSG00000049449",12918
"ENSG00000049540",15586
"ENSG00000049541",6342
"ENSG00000049618",28449
"ENSG00000049656",11865
"ENSG00000049759",35306
"ENSG00000049768",4534
"ENSG00000049769",9689
"ENSG00000049860",9036
"ENSG00000049883",11278
"ENSG00000050130",11190
"ENSG00000050165",10653
"ENSG00000050327",8343
"ENSG00000050344",6238
"ENSG00000050393",7744
"ENSG00000050405",15468
"ENSG00000050426",25201
"ENSG00000050438",20291
"ENSG00000050555",11946
"ENSG00000050628",15175
"ENSG00000050730",7153
"ENSG00000050748",19153
"ENSG00000050820",25355
"ENSG00000051009",7749
"ENSG00000051108",11933
"ENSG00000051128",6724
"ENSG00000051180",8139
"ENSG00000051341",10227
"ENSG00000051382",17247
"ENSG00000051523",6442
"ENSG00000051596",6702
"ENSG00000051620",11339
"ENSG00000051825",20987
"ENSG00000052126",17960
"ENSG00000052723",10232
"ENSG00000052749",11894
"ENSG00000052795",15004
"ENSG00000052802",5133
"ENSG00000052841",20195
"ENSG00000052850",5750
"ENSG00000053254",22525
"ENSG00000053328",1896
"ENSG00000053371",3822
"ENSG00000053372",3302
"ENSG00000053438",1479
"ENSG00000053501",5281
"ENSG00000053524",28462
"ENSG00000053702",3526
"ENSG00000053747",21220
"ENSG00000053770",8509
"ENSG00000053900",13844
"ENSG00000054116",6364
"ENSG00000054118",5805
"ENSG00000054148",5606
"ENSG00000054179",4858
"ENSG00000054219",12416
"ENSG00000054267",19849
"ENSG00000054277",8923
"ENSG00000054282",10163
"ENSG00000054356",16771
"ENSG00000054392",5739
"ENSG00000054523",27632
"ENSG00000054598",3447
"ENSG00000054611",11746
"ENSG00000054654",60079
"ENSG00000054690",27084
"ENSG00000054793",9156
"ENSG00000054938",6982
"ENSG00000054965",9191
"ENSG00000054967",13998
"ENSG00000054983",11871
"ENSG00000055044",6032
"ENSG00000055070",11784
"ENSG00000055118",14318
"ENSG00000055130",4153
"ENSG00000055147",13211
"ENSG00000055163",24314
"ENSG00000055208",13853
"ENSG00000055211",2299
"ENSG00000055332",13307
"ENSG00000055483",22849
"ENSG00000055609",48990
"ENSG00000055732",12450
"ENSG00000055813",3982
"ENSG00000055917",13915
"ENSG00000055950",9016
"ENSG00000055955",12890
"ENSG00000056050",2267
"ENSG00000056097",13416
"ENSG00000056277",4897
"ENSG00000056558",7065
"ENSG00000056586",19278
"ENSG00000056661",9444
"ENSG00000056736",5042
"ENSG00000056972",14699
"ENSG00000056998",9795
"ENSG00000057019",16510
"ENSG00000057252",9530
"ENSG00000057294",9583
"ENSG00000057468",3266
"ENSG00000057593",7436
"ENSG00000057608",7721
"ENSG00000057657",11242
"ENSG00000057663",9316
"ENSG00000057704",11152
"ENSG00000057757",2477
"ENSG00000057935",16486
"ENSG00000058056",11138
"ENSG00000058063",15286
"ENSG00000058085",7374
"ENSG00000058091",16510
"ENSG00000058262",11207
"ENSG00000058272",22958
"ENSG00000058335",14235
"ENSG00000058404",18461
"ENSG00000058453",14716
"ENSG00000058600",17369
"ENSG00000058668",21059
"ENSG00000058673",22160
"ENSG00000058729",7694
"ENSG00000058799",5365
"ENSG00000058804",10428
"ENSG00000059122",22294
"ENSG00000059145",20342
"ENSG00000059377",13690
"ENSG00000059378",12588
"ENSG00000059573",6520
"ENSG00000059588",11618
"ENSG00000059691",18739
"ENSG00000059728",8434
"ENSG00000059758",9740
"ENSG00000059769",7930
"ENSG00000059804",14364
"ENSG00000059915",8689
"ENSG00000060069",9123
"ENSG00000060138",15494
"ENSG00000060140",4473
"ENSG00000060237",27430
"ENSG00000060303",408
"ENSG00000060339",13000
"ENSG00000060491",5245
"ENSG00000060642",7710
"ENSG00000060656",15217
"ENSG00000060688",7504
"ENSG00000060718",11027
"ENSG00000060749",15365
"ENSG00000060762",2643
"ENSG00000060971",17442
"ENSG00000060982",20007
"ENSG00000061273",21326
"ENSG00000061337",6972
"ENSG00000061455",10736
"ENSG00000061656",4973
"ENSG00000061676",25646
"ENSG00000061794",4556
"ENSG00000061918",7012
"ENSG00000061936",20315
"ENSG00000061938",26407
"ENSG00000061987",27299
"ENSG00000062038",11331
"ENSG00000062194",13488
"ENSG00000062282",12928
"ENSG00000062370",11338
"ENSG00000062485",19223
"ENSG00000062524",8753
"ENSG00000062582",4186
"ENSG00000062598",18812
"ENSG00000062650",12314
"ENSG00000062716",15730
"ENSG00000062725",13290
"ENSG00000062822",9372
"ENSG00000063015",13770
"ENSG00000063046",10076
"ENSG00000063127",6133
"ENSG00000063169",9271
"ENSG00000063176",17868
"ENSG00000063177",12650
"ENSG00000063180",2677
"ENSG00000063241",7035
"ENSG00000063244",6725
"ENSG00000063245",5468
"ENSG00000063322",11331
"ENSG00000063438",14352
"ENSG00000063587",19162
"ENSG00000063601",14973
"ENSG00000063660",10442
"ENSG00000063761",8607
"ENSG00000063854",9023
"ENSG00000063978",17100
"ENSG00000064012",15222
"ENSG00000064042",27690
"ENSG00000064102",5670
"ENSG00000064115",9656
"ENSG00000064199",6991
"ENSG00000064201",10525
"ENSG00000064205",9012
"ENSG00000064225",18904
"ENSG00000064270",12227
"ENSG00000064300",5404
"ENSG00000064309",17992
"ENSG00000064313",9438
"ENSG00000064393",16640
"ENSG00000064419",5604
"ENSG00000064489",5074
"ENSG00000064490",8263
"ENSG00000064545",10665
"ENSG00000064547",7375
"ENSG00000064601",13068
"ENSG00000064607",22740
"ENSG00000064651",16303
"ENSG00000064652",6827
"ENSG00000064655",5874
"ENSG00000064666",12347
"ENSG00000064687",14496
"ENSG00000064692",19867
"ENSG00000064703",10919
"ENSG00000064726",5970
"ENSG00000064763",9059
"ENSG00000064787",11171
"ENSG00000064886",6960
"ENSG00000064932",12355
"ENSG00000064933",13082
"ENSG00000064961",11645
"ENSG00000064989",7744
"ENSG00000064995",2584
"ENSG00000064999",8143
"ENSG00000065000",20025
"ENSG00000065029",13889
"ENSG00000065054",7234
"ENSG00000065057",4449
"ENSG00000065060",9952
"ENSG00000065135",3206
"ENSG00000065150",19390
"ENSG00000065154",6601
"ENSG00000065183",11684
"ENSG00000065243",9513
"ENSG00000065268",7256
"ENSG00000065308",6908
"ENSG00000065320",8663
"ENSG00000065325",8292
"ENSG00000065328",9666
"ENSG00000065357",30777
"ENSG00000065361",24446
"ENSG00000065413",12674
"ENSG00000065427",7953
"ENSG00000065457",7551
"ENSG00000065485",7042
"ENSG00000065491",3462
"ENSG00000065518",4210
"ENSG00000065526",15572
"ENSG00000065534",41390
"ENSG00000065548",6978
"ENSG00000065559",14457
"ENSG00000065600",5037
"ENSG00000065613",8388
"ENSG00000065615",10601
"ENSG00000065618",8253
"ENSG00000065621",13667
"ENSG00000065665",9960
"ENSG00000065675",5240
"ENSG00000065717",10643
"ENSG00000065802",11461
"ENSG00000065809",21939
"ENSG00000065833",5037
"ENSG00000065882",18366
"ENSG00000065883",15545
"ENSG00000065911",12284
"ENSG00000065923",5278
"ENSG00000065970",7495
"ENSG00000065978",3038
"ENSG00000065989",14323
"ENSG00000066027",4808
"ENSG00000066044",9091
"ENSG00000066056",11371
"ENSG00000066084",15180
"ENSG00000066117",12082
"ENSG00000066135",6582
"ENSG00000066136",16573
"ENSG00000066185",3916
"ENSG00000066230",3475
"ENSG00000066248",7145
"ENSG00000066279",11477
"ENSG00000066322",8219
"ENSG00000066336",3886
"ENSG00000066379",5449
"ENSG00000066382",11129
"ENSG00000066405",8431
"ENSG00000066422",8684
"ENSG00000066427",19048
"ENSG00000066455",4954
"ENSG00000066468",23215
"ENSG00000066557",2884
"ENSG00000066583",2401
"ENSG00000066629",15902
"ENSG00000066651",6682
"ENSG00000066654",11611
"ENSG00000066697",4727
"ENSG00000066735",7631
"ENSG00000066739",15805
"ENSG00000066777",16495
"ENSG00000066827",19331
"ENSG00000066855",11338
"ENSG00000066923",16660
"ENSG00000066926",9809
"ENSG00000066933",37629
"ENSG00000067048",8626
"ENSG00000067057",7240
"ENSG00000067064",5668
"ENSG00000067066",19434
"ENSG00000067082",13653
"ENSG00000067113",4383
"ENSG00000067141",16559
"ENSG00000067167",5699
"ENSG00000067177",10333
"ENSG00000067182",11522
"ENSG00000067191",12129
"ENSG00000067208",15624
"ENSG00000067221",12570
"ENSG00000067225",19950
"ENSG00000067248",9786
"ENSG00000067334",10257
"ENSG00000067365",9067
"ENSG00000067369",19885
"ENSG00000067445",18442
"ENSG00000067533",8263
"ENSG00000067560",4436
"ENSG00000067596",13967
"ENSG00000067601",2232
"ENSG00000067606",15378
"ENSG00000067646",12010
"ENSG00000067704",6143
"ENSG00000067715",13800
"ENSG00000067798",20958
"ENSG00000067829",6711
"ENSG00000067836",11414
"ENSG00000067840",11545
"ENSG00000067842",16083
"ENSG00000067900",12391
"ENSG00000067955",9743
"ENSG00000067992",3155
"ENSG00000068001",12307
"ENSG00000068024",19798
"ENSG00000068028",9376
"ENSG00000068078",10222
"ENSG00000068079",4435
"ENSG00000068097",11398
"ENSG00000068120",14417
"ENSG00000068137",13633
"ENSG00000068305",24743
"ENSG00000068308",8427
"ENSG00000068323",8080
"ENSG00000068354",8223
"ENSG00000068366",9652
"ENSG00000068383",5652
"ENSG00000068394",1735
"ENSG00000068400",10220
"ENSG00000068438",9222
"ENSG00000068489",6107
"ENSG00000068650",34967
"ENSG00000068654",18303
"ENSG00000068697",2252
"ENSG00000068724",19999
"ENSG00000068745",21227
"ENSG00000068781",8750
"ENSG00000068784",8266
"ENSG00000068793",19098
"ENSG00000068796",7043
"ENSG00000068831",13779
"ENSG00000068878",18319
"ENSG00000068885",17836
"ENSG00000068903",16175
"ENSG00000068912",3241
"ENSG00000068971",4524
"ENSG00000068976",6488
"ENSG00000069011",5418
"ENSG00000069020",31707
"ENSG00000069122",9501
"ENSG00000069188",23218
"ENSG00000069248",6476
"ENSG00000069275",6724
"ENSG00000069329",15100
"ENSG00000069345",7436
"ENSG00000069399",7040
"ENSG00000069424",17014
"ENSG00000069431",12128
"ENSG00000069482",1464
"ENSG00000069493",8504
"ENSG00000069509",2265
"ENSG00000069535",4910
"ENSG00000069667",20693
"ENSG00000069696",1736
"ENSG00000069702",20440
"ENSG00000069712",5709
"ENSG00000069764",1326
"ENSG00000069812",7654
"ENSG00000069849",7939
"ENSG00000069869",21753
"ENSG00000069943",10136
"ENSG00000069956",8194
"ENSG00000069966",14131
"ENSG00000069974",9844
"ENSG00000069998",10321
"ENSG00000070010",12861
"ENSG00000070018",16205
"ENSG00000070019",5378
"ENSG00000070031",366
"ENSG00000070047",7648
"ENSG00000070061",9268
"ENSG00000070081",12487
"ENSG00000070087",13944
"ENSG00000070159",16309
"ENSG00000070182",19885
"ENSG00000070190",7520
"ENSG00000070193",3324
"ENSG00000070214",29928
"ENSG00000070269",18333
"ENSG00000070366",24958
"ENSG00000070367",16050
"ENSG00000070371",18004
"ENSG00000070388",2717
"ENSG00000070404",6981
"ENSG00000070413",16104
"ENSG00000070423",8947
"ENSG00000070444",11666
"ENSG00000070476",12190
"ENSG00000070495",8777
"ENSG00000070501",8495
"ENSG00000070540",8931
"ENSG00000070610",13226
"ENSG00000070614",12358
"ENSG00000070669",10889
"ENSG00000070718",14200
"ENSG00000070731",11598
"ENSG00000070756",14470
"ENSG00000070759",9146
"ENSG00000070761",5453
"ENSG00000070770",8502
"ENSG00000070778",16270
"ENSG00000070785",4735
"ENSG00000070808",9846
"ENSG00000070814",20361
"ENSG00000070831",6582
"ENSG00000070882",16269
"ENSG00000070950",9770
"ENSG00000070961",20001
"ENSG00000071051",6568
"ENSG00000071054",17626
"ENSG00000071073",14316
"ENSG00000071082",8674
"ENSG00000071127",14189
"ENSG00000071189",24621
"ENSG00000071205",15621
"ENSG00000071242",17396
"ENSG00000071243",8349
"ENSG00000071246",9214
"ENSG00000071282",6006
"ENSG00000071462",13876
"ENSG00000071537",11092
"ENSG00000071539",5473
"ENSG00000071553",9191
"ENSG00000071564",13718
"ENSG00000071575",5897
"ENSG00000071626",16506
"ENSG00000071655",13115
"ENSG00000071794",9594
"ENSG00000071859",4895
"ENSG00000071889",18759
"ENSG00000071894",11143
"ENSG00000071909",18356
"ENSG00000071967",11129
"ENSG00000071994",15784
"ENSG00000072041",15271
"ENSG00000072042",12446
"ENSG00000072062",11804
"ENSG00000072071",10480
"ENSG00000072110",18383
